,missing_count,missing_pct,dtype,n_unique
cnn_sgmt_fkey,35780,55.306519924567965,float64,7547
control_device,21864,33.79602436083717,str,4
reporting_district,6510,10.062756979008872,str,885
party_at_fault,6397,9.888088539895508,float64,5
beat_number,4865,7.520017312270072,str,3582
party2_type,4703,7.269607691594275,str,6
party2_dir_of_travel,4701,7.266516214795808,str,5
party2_move_pre_acc,4700,7.264970476396575,str,21
officer_id,1103,1.704949454354345,str,4080
vz_pcf_link,1082,1.6724889479704457,str,210
weather_2,790,1.221133335394318,str,44
vz_pcf_group,667,1.0310075122886202,str,255
vz_pcf_code,564,0.8717964571675889,str,337
police_district,270,0.4173493677929947,str,10
supervisor_district,262,0.4049834605991282,float64,11
analysis_neighborhood,241,0.37252295421522863,str,41
secondary_rd,206,0.31842211024206263,str,1754
tb_latitude,181,0.2797786502612298,str,36870
tb_longitude,181,0.2797786502612298,str,36408
point,181,0.2797786502612298,str,34854
latitude,181,0.2797786502612298,float64,36870
longitude,181,0.2797786502612298,float64,36408
street_view,126,0.19476303830339753,str,39613
distance,79,0.1221133335394318,float64,882
collision_time,62,0.09583578075246545,str,1440
collision_hour_from_time,62,0.09583578075246545,float64,24
time_cat,53,0.08192413515936563,str,6
cnn_intrsctn_fkey,37,0.05719232077163261,float64,6200
party1_type,13,0.020094599190033077,str,7
party1_dir_of_travel,12,0.018548860790799766,str,5
party1_move_pre_acc,12,0.018548860790799766,str,22
day_of_week,9,0.013911645593099823,str,7
number_killed,3,0.004637215197699942,float64,5
dph_col_grp,2,0.0030914767984666276,str,10
dph_col_grp_description,2,0.0030914767984666276,str,10
juris,1,0.0015457383992333138,str,19
primary_rd,1,0.0015457383992333138,str,1349
direction,1,0.0015457383992333138,str,6
intersection,1,0.0015457383992333138,str,3
unique_id,0,0.0,int64,64694
case_id_pkey,0,0.0,str,64691
geocode_source,0,0.0,str,3
geocode_location,0,0.0,str,1
collision_datetime,0,0.0,datetime64[us],64151
collision_date,0,0.0,datetime64[us],7721
accident_year,0,0.0,int64,22
month,0,0.0,str,12
weather_1,0,0.0,str,15
collision_severity,0,0.0,str,5
type_of_collision,0,0.0,str,9
mviw,0,0.0,str,11
ped_action,0,0.0,str,9
road_surface,0,0.0,str,5
road_cond_1,0,0.0,str,10
road_cond_2,0,0.0,str,8
lighting,0,0.0,str,6
vz_pcf_description,0,0.0,str,250
number_injured,0,0.0,int64,17
data_as_of,0,0.0,datetime64[us],5143
data_updated_at,0,0.0,datetime64[us],25
data_loaded_at,0,0.0,datetime64[us],1
collision_year_parsed,0,0.0,int32,22
collision_month_num,0,0.0,int32,12
collision_month_name,0,0.0,str,12
collision_dayofweek,0,0.0,str,7
collision_hour,0,0.0,int32,24
